고객명,성별,나이,직업,거주지,선호채널,연락처,결혼여부,자녀유무,거주 주택유형,주택 소유 여부,차량 보유 여부,차량명,연식,마케팅 활용 동의 여부,보험계약 변경 여부,보험계약 해지 여부,대출 여부,보험금 청구 유무,기타 상담 내용,자동차 보험 가입 여부,대물 보장금액,대인 보장금액,운행거리할인 특약 가입여부,생명보험 가입상품,총 납입보험료,보험계약 유지기간,대출 건수,대출 금액,대출상품,캠페인/동의정보,디지털접촉횟수,조회 정보,관심 이벤트,제공 정보
최지호,남성,36,의사,광주,전화,010-1454-3146,결혼,예,아파트,아니오,아니오,,,아니오,아니오,예,아니오,아니오,보장 내용 문의,아니오,0,0,아니오,종신상품,3859983,10,0,6862344,신용대출,아니오,10,11,신제품 출시,SMS
정다인,여성,70,사진작가,대구,대면,010-4144-2660,결혼,예,아파트,예,예,아우디,2000,예,아니오,아니오,예,아니오,계약 변경 요청,예,948948819,무한,아니오,암보험,4858620,10,3,4830328,신용대출,아니오,28,19,정책 알림,앱 알림
임은우,여성,40,요리사,대전,대면,010-4325-7251,미혼,아니오,오피스텔,예,예,벤츠,2021,예,아니오,아니오,예,아니오,해지 문의,예,169685639,무한,예,연금상품,4918022,7,1,337674,신용대출,예,17,16,결제 기한,앱 알림
정하준,남성,48,작가,울산,온라인,010-5878-6177,결혼,예,연립주택,예,아니오,,,예,예,예,아니오,예,보험료 문의,아니오,0,0,아니오,정기상품,4728899,18,3,0,담보대출,아니오,24,3,할인 혜택,이메일
김지수,여성,48,디자이너,서울,온라인,010-7160-1790,결혼,예,오피스텔,아니오,아니오,,,아니오,아니오,아니오,아니오,예,보험료 문의,아니오,0,0,아니오,종신상품,300392,12,3,1535359,담보대출,아니오,37,19,할인 혜택,전화
강하은,여성,60,예술가,창원,전화,010-5583-8577,미혼,아니오,오피스텔,예,아니오,,,아니오,예,예,아니오,아니오,계약 변경 요청,아니오,0,0,아니오,정기상품,1154945,10,0,8586555,,아니오,30,9,신제품 출시,이메일
강서하,여성,69,번역가,수원,온라인,010-9596-5406,결혼,아니오,오피스텔,예,예,스포티지,2019,예,예,예,아니오,아니오,보장 내용 문의,예,616682690,무한,아니오,암보험,872065,4,3,1469019,담보대출,아니오,31,13,결제 기한,전화
박가온,여성,23,요리사,광주,온라인,010-8794-8316,결혼,예,오피스텔,예,아니오,,,예,예,예,아니오,예,보장 내용 문의,아니오,0,0,아니오,암보험,1416203,9,2,5924398,,아니오,47,4,신제품 출시,SMS
임수민,여성,37,사진작가,인천,전화,010-9803-2173,미혼,아니오,주택,아니오,아니오,,,예,예,예,예,아니오,기타,아니오,0,0,아니오,암보험,1198203,2,1,8476241,신용대출,예,47,9,정책 알림,이메일
최동민,여성,51,소프트웨어 엔지니어,광주,대면,010-2294-1302,미혼,아니오,빌라,아니오,아니오,,,아니오,예,아니오,아니오,예,보장 내용 문의,아니오,0,0,아니오,정기상품,1489551,1,3,0,담보대출,예,6,1,정책 알림,SMS
최도윤,남성,54,변호사,수원,온라인,010-5005-7372,미혼,아니오,빌라,예,아니오,,,예,아니오,아니오,예,아니오,해지 문의,아니오,0,0,아니오,연금상품,3319466,7,1,0,신용대출,예,25,1,결제 기한,SMS
강하은,여성,40,번역가,광주,전화,010-1599-4549,결혼,예,주택,예,아니오,,,아니오,예,아니오,아니오,아니오,보험료 문의,아니오,0,0,아니오,암보험,1936507,2,1,4912159,신용대출,예,26,11,결제 기한,앱 알림
장예담,여성,27,프로그램 개발자,울산,이메일,010-7608-4516,결혼,아니오,주택,아니오,예,테슬라,2011,아니오,예,아니오,예,예,계약 변경 요청,예,713220118,무한,예,연금상품,1751660,19,0,3714437,,예,13,8,할인 혜택,이메일
박다온,여성,43,소프트웨어 엔지니어,부산,온라인,010-9436-5404,미혼,아니오,아파트,예,예,스포티지,2007,예,아니오,예,아니오,예,보험료 문의,예,325269002,무한,예,연금상품,4788626,11,0,0,,예,46,8,정책 알림,SMS
강수빈,여성,37,물리치료사,광주,전화,010-6170-5721,미혼,아니오,아파트,예,예,K5,2015,아니오,아니오,예,아니오,예,기타,예,633495794,무한,아니오,암보험,1363957,17,3,2099865,보험계약대출,예,19,3,정책 알림,앱 알림
정주원,여성,58,변호사,성남,온라인,010-5899-8246,결혼,예,빌라,예,아니오,,,예,아니오,예,아니오,예,기타,아니오,0,0,아니오,종신상품,3971912,20,2,0,,아니오,18,15,신제품 출시,전화
윤유리,여성,54,사진작가,성남,이메일,010-4897-4429,결혼,아니오,연립주택,예,예,아반떼,2000,예,아니오,예,아니오,예,보장 내용 문의,예,300512786,무한,예,암보험,4819898,6,3,0,보험계약대출,예,15,10,할인 혜택,이메일
정나영,여성,51,변호사,대구,전화,010-4709-4872,결혼,예,오피스텔,예,아니오,,,예,아니오,예,아니오,예,기타,아니오,0,0,아니오,암보험,4212316,11,3,2242557,보험계약대출,예,25,10,결제 기한,앱 알림
장태훈,여성,68,연구원,인천,대면,010-8883-7033,미혼,아니오,아파트,아니오,예,그랜저,2017,예,예,예,아니오,아니오,해지 문의,예,237243110,무한,예,암보험,2362239,13,2,8251296,보험계약대출,예,42,2,할인 혜택,전화
강지윤,여성,50,작가,대전,전화,010-4487-9931,미혼,아니오,오피스텔,예,아니오,,,아니오,예,예,아니오,아니오,보험료 문의,아니오,0,0,아니오,암보험,3410229,12,2,2214443,,아니오,2,14,신제품 출시,앱 알림
최하영,여성,49,엔지니어,수원,온라인,010-3484-1547,결혼,예,빌라,아니오,예,테슬라,2023,아니오,예,예,예,아니오,보험료 문의,예,809280379,무한,예,암보험,1151017,9,3,7075180,담보대출,예,24,16,신제품 출시,이메일
박은우,여성,63,변호사,광주,전화,010-1355-5729,결혼,아니오,오피스텔,아니오,예,쏘나타,2003,아니오,예,예,아니오,아니오,계약 변경 요청,예,900156076,무한,아니오,정기상품,4530455,13,3,0,담보대출,아니오,45,2,할인 혜택,앱 알림
정하빈,여성,22,요리사,성남,온라인,010-7139-1733,결혼,예,아파트,아니오,아니오,,,아니오,아니오,아니오,아니오,예,보장 내용 문의,아니오,0,0,아니오,종신상품,3150979,3,3,6017173,담보대출,아니오,35,7,할인 혜택,앱 알림
최지한,남성,40,회계사,대전,이메일,010-4605-2134,결혼,예,연립주택,예,아니오,,,아니오,아니오,예,아니오,예,보장 내용 문의,아니오,0,0,아니오,정기상품,2612877,17,0,0,담보대출,아니오,23,13,신제품 출시,앱 알림
정태민,남성,26,연구원,수원,이메일,010-2569-1895,미혼,아니오,아파트,예,예,아우디,2023,예,아니오,예,예,아니오,해지 문의,예,620342338,무한,예,정기상품,4331069,4,3,7583541,담보대출,예,26,17,결제 기한,SMS
장태윤,남성,42,엔지니어,대전,온라인,010-5669-6661,결혼,아니오,주택,아니오,예,아반떼,2018,예,아니오,아니오,아니오,아니오,보험료 문의,예,874657278,무한,예,정기상품,1437401,10,1,1080074,담보대출,아니오,37,7,정책 알림,SMS
윤유나,여성,53,교사,성남,대면,010-4414-1147,미혼,아니오,오피스텔,예,아니오,,,예,아니오,아니오,예,예,보장 내용 문의,아니오,0,0,아니오,암보험,1534349,16,1,0,보험계약대출,아니오,39,10,할인 혜택,앱 알림
윤태호,남성,41,요리사,인천,온라인,010-9569-8144,미혼,아니오,오피스텔,아니오,예,스포티지,2020,예,아니오,예,예,예,기타,예,976760327,무한,예,정기상품,4199663,11,1,5576503,신용대출,아니오,14,2,결제 기한,SMS
김태린,여성,41,회계사,성남,온라인,010-6371-7173,미혼,아니오,오피스텔,예,아니오,,,예,예,예,아니오,예,기타,아니오,0,0,아니오,종신상품,1617886,9,2,3973590,담보대출,예,15,11,정책 알림,이메일
장승환,여성,27,예술가,대구,전화,010-9061-8286,미혼,아니오,주택,아니오,예,스포티지,2011,예,예,아니오,예,예,보장 내용 문의,예,631518873,무한,예,암보험,4694374,19,1,8499181,,아니오,29,12,정책 알림,SMS
김유정,여성,26,운동선수,수원,전화,010-8132-3267,미혼,아니오,주택,예,예,스포티지,2008,예,아니오,아니오,예,예,기타,예,443610528,무한,아니오,암보험,3427194,16,0,0,담보대출,아니오,30,16,신제품 출시,앱 알림
김주희,여성,61,물리치료사,인천,전화,010-4188-5235,미혼,아니오,오피스텔,아니오,예,스포티지,2022,예,예,예,아니오,예,보험료 문의,예,897668836,무한,예,암보험,3149057,16,1,1770521,보험계약대출,예,43,15,할인 혜택,앱 알림
강승환,여성,38,회계사,인천,전화,010-7327-6818,미혼,아니오,오피스텔,예,아니오,,,예,예,아니오,예,예,해지 문의,아니오,0,0,아니오,암보험,1832256,15,2,1041829,,예,23,5,할인 혜택,이메일
강하린,여성,51,간호사,서울,대면,010-1329-6741,결혼,예,아파트,예,예,아우디,2001,예,아니오,예,아니오,아니오,해지 문의,예,912668626,무한,아니오,암보험,3964697,8,3,6719284,보험계약대출,아니오,44,3,할인 혜택,앱 알림
장유나,여성,52,물리치료사,대전,전화,010-7587-4641,미혼,아니오,오피스텔,아니오,아니오,,,예,아니오,아니오,예,아니오,보험료 문의,아니오,0,0,아니오,연금상품,930646,5,3,5117762,,예,18,15,신제품 출시,앱 알림
정민영,여성,37,사진작가,창원,온라인,010-3896-6316,결혼,예,주택,예,예,벤츠,2013,예,예,예,아니오,예,해지 문의,예,440203024,무한,예,정기상품,4699316,20,2,5903535,담보대출,예,27,1,정책 알림,SMS
윤다현,여성,65,요리사,광주,온라인,010-3536-1630,미혼,아니오,오피스텔,아니오,아니오,,,아니오,아니오,아니오,아니오,예,계약 변경 요청,아니오,0,0,아니오,연금상품,3665678,8,3,7126383,,아니오,1,12,신제품 출시,전화
정은서,여성,68,기자,부산,이메일,010-6109-2374,결혼,예,주택,아니오,예,테슬라,2007,아니오,예,예,예,예,기타,예,772073210,무한,예,정기상품,3131872,11,0,8929586,신용대출,예,9,11,정책 알림,이메일
윤태민,남성,34,작가,울산,대면,010-3846-4077,미혼,아니오,주택,아니오,아니오,,,아니오,아니오,아니오,아니오,아니오,해지 문의,아니오,0,0,아니오,암보험,2444514,2,2,3518498,신용대출,예,22,0,신제품 출시,앱 알림
조하은,여성,46,번역가,창원,대면,010-6664-3689,미혼,아니오,오피스텔,아니오,예,BMW,2002,아니오,아니오,예,예,예,보장 내용 문의,예,857410128,무한,아니오,연금상품,4409331,1,2,3538510,,아니오,11,11,정책 알림,앱 알림
박예림,여성,69,예술가,부산,온라인,010-3931-1114,미혼,아니오,연립주택,아니오,아니오,,,예,아니오,아니오,예,아니오,계약 변경 요청,아니오,0,0,아니오,종신상품,110715,11,0,1548078,,아니오,10,6,할인 혜택,전화
이시우,남성,24,엔지니어,광주,이메일,010-2127-2322,결혼,아니오,아파트,아니오,아니오,,,아니오,예,아니오,예,아니오,기타,아니오,0,0,아니오,종신상품,278273,12,2,6070878,신용대출,예,10,18,정책 알림,SMS
정하온,여성,64,작가,부산,이메일,010-1208-7371,결혼,예,빌라,예,아니오,,,아니오,아니오,아니오,예,아니오,해지 문의,아니오,0,0,아니오,정기상품,1729123,7,3,0,보험계약대출,예,12,20,결제 기한,전화
조지안,여성,29,바리스타,대구,전화,010-3326-8602,결혼,아니오,빌라,예,예,스포티지,2003,예,아니오,예,예,아니오,보장 내용 문의,예,519764709,무한,예,종신상품,1131850,3,3,0,신용대출,예,35,9,결제 기한,앱 알림
정승환,여성,46,프로그램 개발자,창원,전화,010-4139-8623,미혼,아니오,빌라,예,아니오,,,예,아니오,아니오,예,아니오,보험료 문의,아니오,0,0,아니오,정기상품,1321688,15,1,9479273,,예,18,0,신제품 출시,이메일
조다인,여성,70,디자이너,서울,온라인,010-3294-8958,결혼,아니오,오피스텔,아니오,아니오,,,아니오,아니오,예,아니오,예,보험료 문의,아니오,0,0,아니오,종신상품,1007714,18,3,3103327,보험계약대출,아니오,29,17,신제품 출시,앱 알림
이하준,남성,46,요리사,울산,전화,010-1684-9823,결혼,예,빌라,아니오,아니오,,,예,아니오,예,예,예,보장 내용 문의,아니오,0,0,아니오,정기상품,267229,6,3,4781457,신용대출,아니오,32,4,결제 기한,앱 알림
김하늘,여성,53,물리치료사,인천,이메일,010-5007-5661,결혼,예,오피스텔,아니오,예,스포티지,2007,예,아니오,아니오,예,예,해지 문의,예,664494572,무한,아니오,정기상품,2209364,6,0,1116527,보험계약대출,예,48,17,정책 알림,SMS
정시온,여성,59,예술가,창원,전화,010-7725-1740,결혼,아니오,연립주택,아니오,아니오,,,예,예,아니오,예,아니오,보험료 문의,아니오,0,0,아니오,연금상품,1862398,17,1,0,신용대출,아니오,39,19,신제품 출시,앱 알림
박태우,여성,50,의사,수원,온라인,010-1502-7105,결혼,예,연립주택,예,예,K5,2013,예,예,아니오,예,아니오,보장 내용 문의,예,741317174,무한,아니오,정기상품,1268425,20,2,0,,예,16,10,할인 혜택,SMS
강태우,여성,46,바리스타,부산,전화,010-4828-2272,결혼,예,주택,아니오,아니오,,,아니오,아니오,예,예,아니오,기타,아니오,0,0,아니오,종신상품,3974019,15,3,0,신용대출,예,27,6,신제품 출시,SMS
장예지,여성,41,번역가,부산,이메일,010-8825-4940,결혼,아니오,주택,예,예,K5,2000,예,아니오,예,예,아니오,보험료 문의,예,197053246,무한,아니오,종신상품,194328,9,0,0,신용대출,예,16,4,할인 혜택,전화
이하연,여성,69,작가,광주,대면,010-3012-3861,결혼,예,주택,아니오,예,벤츠,2017,예,예,예,아니오,예,보험료 문의,예,689008608,무한,아니오,종신상품,1762390,4,3,8586441,보험계약대출,예,40,5,신제품 출시,SMS
박승환,여성,29,소프트웨어 엔지니어,창원,이메일,010-8778-3399,결혼,예,주택,예,예,아반떼,2009,아니오,예,예,예,예,해지 문의,예,374627808,무한,예,종신상품,2098423,20,0,9817594,보험계약대출,아니오,32,17,정책 알림,전화
이은우,여성,56,운동선수,창원,온라인,010-3999-3593,미혼,아니오,오피스텔,아니오,예,K5,2009,아니오,아니오,아니오,아니오,아니오,기타,예,827118633,무한,아니오,암보험,4134063,11,0,0,,예,16,11,결제 기한,SMS
김지후,남성,24,마케터,창원,전화,010-8339-1039,결혼,아니오,아파트,아니오,아니오,,,예,아니오,아니오,예,예,보험료 문의,아니오,0,0,아니오,연금상품,361528,14,0,6231441,신용대출,아니오,39,17,할인 혜택,전화
정유나,여성,28,디자이너,서울,온라인,010-9259-4079,결혼,예,빌라,아니오,아니오,,,아니오,예,예,예,아니오,보장 내용 문의,아니오,0,0,아니오,암보험,1970024,18,2,9117599,,아니오,34,12,할인 혜택,이메일
김유나,여성,43,엔지니어,광주,전화,010-9182-6393,미혼,아니오,연립주택,예,예,아우디,2003,예,아니오,아니오,예,예,보험료 문의,예,698216624,무한,예,연금상품,4060564,7,0,0,보험계약대출,아니오,0,12,정책 알림,SMS
정가온,여성,38,번역가,서울,온라인,010-8871-3986,결혼,예,빌라,예,예,BMW,2005,예,아니오,아니오,아니오,아니오,보장 내용 문의,예,680281515,무한,아니오,암보험,3225314,8,0,4268795,보험계약대출,예,47,12,신제품 출시,SMS
정하영,여성,31,마케터,부산,이메일,010-9486-5911,결혼,예,주택,아니오,예,K5,2008,아니오,예,아니오,아니오,아니오,해지 문의,예,373015561,무한,아니오,종신상품,1687284,14,2,989868,,아니오,40,15,결제 기한,전화
조하영,여성,69,작가,부산,대면,010-4640-5866,미혼,아니오,연립주택,아니오,아니오,,,예,예,아니오,아니오,아니오,계약 변경 요청,아니오,0,0,아니오,연금상품,2924573,5,2,3532553,,예,25,8,결제 기한,앱 알림
김서율,여성,30,엔지니어,서울,이메일,010-6535-1345,결혼,아니오,아파트,예,아니오,,,예,아니오,아니오,예,예,보장 내용 문의,아니오,0,0,아니오,종신상품,1453270,3,0,8372151,보험계약대출,예,27,15,정책 알림,전화
최민경,여성,24,연구원,서울,대면,010-3089-2161,결혼,예,주택,아니오,예,스포티지,2014,예,예,예,예,예,기타,예,958954048,무한,아니오,정기상품,3991164,17,1,6316263,,아니오,34,11,정책 알림,SMS
김현서,남성,56,마케터,인천,대면,010-3021-2290,결혼,예,아파트,예,예,그랜저,2018,예,예,예,예,아니오,보험료 문의,예,950845096,무한,아니오,종신상품,2131695,12,3,1942679,보험계약대출,아니오,17,4,할인 혜택,전화
정태윤,남성,70,디자이너,창원,이메일,010-5533-4976,결혼,예,아파트,아니오,예,아우디,2010,예,아니오,아니오,예,예,계약 변경 요청,예,424267565,무한,아니오,암보험,4840017,12,2,6030622,,예,44,20,결제 기한,SMS
임진우,남성,51,기자,광주,대면,010-7593-3282,결혼,예,아파트,예,예,테슬라,2003,아니오,예,아니오,예,예,보장 내용 문의,예,441898952,무한,예,종신상품,340746,16,1,7025855,신용대출,아니오,48,16,신제품 출시,앱 알림
윤수호,여성,20,물리치료사,창원,대면,010-5943-9897,미혼,아니오,주택,아니오,예,포드,2013,예,아니오,아니오,아니오,예,보험료 문의,예,397641678,무한,예,암보험,1117757,5,3,0,신용대출,예,16,20,결제 기한,앱 알림
박지윤,여성,60,사진작가,대구,온라인,010-2532-9413,결혼,아니오,빌라,아니오,아니오,,,아니오,예,아니오,아니오,예,기타,아니오,0,0,아니오,연금상품,2206320,6,2,9114463,보험계약대출,아니오,31,2,할인 혜택,SMS
장동민,여성,41,물리치료사,대전,온라인,010-9315-7015,미혼,아니오,주택,예,예,스포티지,2017,아니오,아니오,아니오,아니오,예,계약 변경 요청,예,472913794,무한,예,연금상품,483152,9,0,752907,신용대출,예,43,15,신제품 출시,SMS
김유나,여성,57,변호사,서울,온라인,010-5582-7955,미혼,아니오,연립주택,아니오,아니오,,,예,아니오,예,예,아니오,기타,아니오,0,0,아니오,연금상품,971402,3,1,9336492,담보대출,예,13,11,신제품 출시,SMS
박시현,여성,36,엔지니어,창원,전화,010-9248-4999,미혼,아니오,빌라,예,예,쏘나타,2008,예,예,예,아니오,예,계약 변경 요청,예,617954644,무한,아니오,암보험,2546001,13,2,7386205,담보대출,아니오,21,15,정책 알림,이메일
정은율,여성,66,운동선수,수원,이메일,010-9648-4533,결혼,예,주택,예,예,아반떼,2013,예,아니오,아니오,아니오,예,보험료 문의,예,874471002,무한,아니오,암보험,588640,2,2,5145715,보험계약대출,예,34,10,할인 혜택,전화
박연서,여성,40,엔지니어,광주,전화,010-9440-1560,미혼,아니오,아파트,예,예,스포티지,2011,아니오,아니오,예,아니오,아니오,계약 변경 요청,예,581157858,무한,예,연금상품,3674869,4,1,9218001,,예,41,1,할인 혜택,이메일
조주원,여성,49,사진작가,성남,전화,010-8196-2246,결혼,아니오,오피스텔,아니오,아니오,,,아니오,예,아니오,예,아니오,해지 문의,아니오,0,0,아니오,암보험,2130634,19,2,9211720,신용대출,예,25,6,할인 혜택,앱 알림
조영희,여성,69,의사,부산,이메일,010-4218-2408,결혼,예,오피스텔,예,아니오,,,예,아니오,아니오,아니오,아니오,기타,아니오,0,0,아니오,암보험,3000470,2,0,6832920,담보대출,예,14,7,결제 기한,SMS
조은호,남성,54,기자,광주,대면,010-2608-4923,미혼,아니오,주택,아니오,아니오,,,예,아니오,아니오,아니오,아니오,보장 내용 문의,아니오,0,0,아니오,암보험,4998647,6,2,2561114,담보대출,예,7,9,신제품 출시,전화
정하린,여성,66,변호사,창원,대면,010-6368-2870,결혼,아니오,아파트,예,아니오,,,아니오,예,예,예,예,해지 문의,아니오,0,0,아니오,연금상품,4900128,18,3,2260971,보험계약대출,예,30,8,할인 혜택,SMS
조태윤,남성,36,회계사,울산,대면,010-2527-1850,미혼,아니오,주택,예,예,스포티지,2002,예,예,아니오,아니오,예,보험료 문의,예,850193688,무한,예,종신상품,1278342,15,3,9356561,,아니오,5,12,결제 기한,앱 알림
임승현,남성,38,간호사,인천,이메일,010-5041-3656,결혼,예,빌라,예,예,K5,2009,예,아니오,예,아니오,아니오,보험료 문의,예,211823778,무한,예,종신상품,2132612,10,3,4114655,,아니오,26,18,결제 기한,SMS
임하린,여성,56,디자이너,광주,대면,010-9981-5587,미혼,아니오,연립주택,아니오,아니오,,,아니오,예,아니오,예,아니오,보장 내용 문의,아니오,0,0,아니오,암보험,2090666,7,1,7667842,담보대출,예,23,7,정책 알림,전화
정시현,여성,21,기자,울산,전화,010-1101-1331,미혼,아니오,빌라,예,아니오,,,예,아니오,아니오,아니오,예,보험료 문의,아니오,0,0,아니오,정기상품,312798,16,1,8028165,신용대출,예,49,16,결제 기한,SMS
윤혜린,여성,22,회계사,서울,온라인,010-2080-4980,결혼,아니오,주택,아니오,아니오,,,예,아니오,예,예,예,기타,아니오,0,0,아니오,연금상품,2210443,20,0,2282292,,예,4,4,정책 알림,이메일
조하랑,여성,62,예술가,서울,이메일,010-6598-8737,미혼,아니오,아파트,예,예,포드,2002,예,예,예,아니오,아니오,보장 내용 문의,예,921324472,무한,예,암보험,3918554,8,3,7657208,보험계약대출,예,18,15,할인 혜택,전화
강성훈,여성,57,바리스타,광주,온라인,010-7098-4345,결혼,아니오,아파트,예,아니오,,,아니오,예,예,예,아니오,계약 변경 요청,아니오,0,0,아니오,정기상품,1536423,10,1,2886166,보험계약대출,예,46,1,결제 기한,SMS
장서준,여성,23,프로그램 개발자,울산,이메일,010-7804-7571,결혼,예,연립주택,아니오,예,K5,2004,예,예,예,아니오,아니오,보장 내용 문의,예,156365295,무한,예,종신상품,4497195,1,0,869262,신용대출,예,41,0,할인 혜택,앱 알림
박연서,여성,39,사진작가,창원,대면,010-9526-4092,미혼,아니오,빌라,아니오,아니오,,,예,예,아니오,아니오,예,계약 변경 요청,아니오,0,0,아니오,암보험,1336841,15,3,0,,아니오,11,4,할인 혜택,앱 알림
정정민,여성,38,마케터,광주,이메일,010-1268-6273,미혼,아니오,연립주택,예,아니오,,,아니오,아니오,예,예,아니오,보험료 문의,아니오,0,0,아니오,암보험,4622372,10,2,3284800,담보대출,예,48,7,신제품 출시,SMS
최수빈,여성,45,기자,대전,온라인,010-2766-7134,미혼,아니오,빌라,아니오,예,아우디,2005,예,아니오,아니오,예,아니오,기타,예,309528283,무한,아니오,종신상품,4181085,17,3,6176230,담보대출,아니오,35,13,할인 혜택,전화
이시현,여성,62,요리사,광주,전화,010-4425-6453,결혼,예,아파트,아니오,아니오,,,아니오,예,예,아니오,예,보장 내용 문의,아니오,0,0,아니오,종신상품,780491,17,0,0,,아니오,37,4,신제품 출시,이메일
조정우,남성,32,연구원,광주,대면,010-5361-7904,미혼,아니오,아파트,예,아니오,,,예,아니오,아니오,예,아니오,해지 문의,아니오,0,0,아니오,종신상품,963284,20,0,0,담보대출,예,5,18,정책 알림,SMS
임정민,여성,41,변호사,대전,전화,010-9585-3709,결혼,아니오,빌라,아니오,예,벤츠,2010,예,예,아니오,아니오,아니오,기타,예,284201836,무한,아니오,연금상품,4550687,4,1,9629282,신용대출,예,24,17,결제 기한,전화
정연서,여성,66,회계사,대구,이메일,010-6935-4706,결혼,아니오,주택,예,예,벤츠,2014,아니오,예,예,예,아니오,해지 문의,예,635535073,무한,예,암보험,176860,9,3,1241225,신용대출,예,2,4,할인 혜택,SMS
김태린,여성,38,운동선수,울산,온라인,010-3239-7033,미혼,아니오,빌라,아니오,예,포드,2016,예,예,아니오,아니오,예,보험료 문의,예,326584778,무한,예,암보험,4872106,8,0,872822,,예,41,4,할인 혜택,이메일
박예담,여성,40,디자이너,서울,대면,010-6827-3410,결혼,아니오,아파트,예,아니오,,,아니오,아니오,아니오,아니오,예,계약 변경 요청,아니오,0,0,아니오,연금상품,3583321,9,1,0,,예,1,3,신제품 출시,이메일
장태린,여성,48,변호사,수원,대면,010-9232-7823,결혼,예,빌라,예,아니오,,,예,아니오,예,예,예,보험료 문의,아니오,0,0,아니오,종신상품,1949068,18,1,1827256,보험계약대출,아니오,14,14,결제 기한,전화
장서준,여성,46,간호사,성남,전화,010-8769-9696,결혼,예,아파트,예,아니오,,,아니오,아니오,예,예,예,해지 문의,아니오,0,0,아니오,암보험,2867470,16,2,6280370,보험계약대출,아니오,33,9,결제 기한,SMS
윤나연,여성,53,소프트웨어 엔지니어,광주,온라인,010-7793-7356,결혼,아니오,빌라,예,아니오,,,예,예,예,예,아니오,해지 문의,아니오,0,0,아니오,암보험,4065501,19,0,1522219,,예,30,8,신제품 출시,이메일
박하랑,여성,58,변호사,대구,온라인,010-9174-6804,미혼,아니오,연립주택,아니오,예,아우디,2003,예,아니오,예,예,예,해지 문의,예,486396866,무한,아니오,종신상품,1099230,11,3,6617337,,예,12,20,할인 혜택,앱 알림
이재민,여성,38,작가,울산,대면,010-1857-5048,결혼,아니오,오피스텔,예,아니오,,,아니오,아니오,예,예,아니오,보험료 문의,아니오,0,0,아니오,연금상품,1381663,14,3,3059920,담보대출,예,16,8,정책 알림,앱 알림
정태윤,남성,43,번역가,수원,이메일,010-9157-8226,미혼,아니오,오피스텔,아니오,예,테슬라,2008,아니오,예,예,예,예,해지 문의,예,341074628,무한,예,정기상품,2114030,8,1,6652956,,예,27,8,할인 혜택,전화
박수연,여성,51,사진작가,대구,전화,010-3982-1401,미혼,아니오,오피스텔,아니오,예,스포티지,2000,아니오,예,예,아니오,아니오,계약 변경 요청,예,563027031,무한,아니오,연금상품,2588184,12,0,5312207,,아니오,1,18,결제 기한,SMS
강승환,여성,39,마케터,창원,온라인,010-5794-5842,미혼,아니오,빌라,아니오,아니오,,,아니오,아니오,아니오,아니오,예,계약 변경 요청,아니오,0,0,아니오,암보험,367520,10,1,3625823,,예,49,11,정책 알림,앱 알림
강유경,여성,20,사진작가,부산,대면,010-6907-3410,결혼,아니오,빌라,아니오,예,벤츠,2013,아니오,예,아니오,아니오,예,해지 문의,예,561773971,무한,아니오,암보험,2037178,11,2,3604243,,예,41,10,결제 기한,전화
강하늘,여성,43,바리스타,성남,온라인,010-3533-6302,결혼,예,주택,아니오,아니오,,,아니오,아니오,아니오,아니오,예,해지 문의,아니오,0,0,아니오,암보험,4322551,1,1,690310,,예,19,20,할인 혜택,전화
이서후,여성,54,간호사,수원,대면,010-4910-2993,미혼,아니오,주택,아니오,예,쏘나타,2013,아니오,예,예,아니오,아니오,기타,예,518368687,무한,예,종신상품,659619,17,2,0,담보대출,예,5,7,정책 알림,SMS
이다혜,여성,38,프로그램 개발자,광주,온라인,010-8090-9955,미혼,아니오,오피스텔,예,예,포드,2017,아니오,예,예,아니오,예,보험료 문의,예,620944648,무한,아니오,암보험,4640258,19,0,7515966,신용대출,예,42,10,신제품 출시,앱 알림
최유진,여성,47,소프트웨어 엔지니어,광주,온라인,010-1054-7281,미혼,아니오,아파트,예,예,BMW,2023,예,아니오,아니오,예,아니오,해지 문의,예,981092941,무한,아니오,연금상품,4871761,5,2,8953189,,아니오,12,11,결제 기한,전화
이지후,남성,28,의사,대구,이메일,010-5140-2355,미혼,아니오,빌라,예,예,BMW,2000,예,예,아니오,예,아니오,보장 내용 문의,예,789743293,무한,예,암보험,2828667,9,2,5744981,,아니오,23,8,할인 혜택,전화
조은빈,여성,31,바리스타,대구,대면,010-7761-6524,결혼,예,아파트,예,아니오,,,예,아니오,예,아니오,예,기타,아니오,0,0,아니오,정기상품,3485382,14,3,0,담보대출,아니오,25,13,할인 혜택,SMS
이민재,남성,53,디자이너,성남,대면,010-2854-9372,결혼,예,주택,아니오,예,아우디,2004,예,예,아니오,아니오,아니오,기타,예,893112203,무한,예,종신상품,3074273,1,1,0,담보대출,예,8,1,결제 기한,이메일
최시현,여성,51,회계사,광주,대면,010-4900-4119,미혼,아니오,연립주택,아니오,예,BMW,2003,예,아니오,예,예,아니오,기타,예,342824647,무한,아니오,종신상품,4314520,18,2,0,,예,19,6,할인 혜택,이메일
조하윤,여성,21,작가,대전,온라인,010-8593-5840,결혼,예,오피스텔,예,예,BMW,2007,아니오,아니오,예,아니오,아니오,계약 변경 요청,예,697379518,무한,아니오,암보험,3645488,10,1,2837481,보험계약대출,아니오,0,17,정책 알림,이메일
